rounds,input_bit_index,output_bit_index,seed,rng_seed,samples,flip_count,flip_rate,baseline_delta
13,22,255,11,20271534,500,243,0.486000,-0.014000
13,22,255,12,20272534,500,236,0.472000,-0.028000
13,22,255,13,20273534,500,251,0.502000,0.002000
13,22,255,14,20274534,500,261,0.522000,0.022000
13,22,255,15,20275534,500,237,0.474000,-0.026000
13,22,255,16,20276534,500,253,0.506000,0.006000
13,22,255,17,20277534,500,260,0.520000,0.020000
13,22,255,18,20278534,500,244,0.488000,-0.012000
13,22,255,19,20279534,500,257,0.514000,0.014000
13,22,255,20,20280534,500,255,0.510000,0.010000
13,23,255,1,20261535,500,258,0.516000,0.016000
13,23,255,2,20262535,500,253,0.506000,0.006000
13,23,255,3,20263535,500,249,0.498000,-0.002000
13,23,255,4,20264535,500,235,0.470000,-0.030000
13,23,255,5,20265535,500,260,0.520000,0.020000
13,23,255,6,20266535,500,247,0.494000,-0.006000
13,23,255,7,20267535,500,264,0.528000,0.028000
13,23,255,8,20268535,500,255,0.510000,0.010000
13,23,255,9,20269535,500,263,0.526000,0.026000
13,23,255,10,20270535,500,256,0.512000,0.012000
13,23,255,11,20271535,500,251,0.502000,0.002000
13,23,255,12,20272535,500,242,0.484000,-0.016000
13,23,255,13,20273535,500,258,0.516000,0.016000
13,23,255,14,20274535,500,250,0.500000,0.000000
13,23,255,15,20275535,500,257,0.514000,0.014000
13,23,255,16,20276535,500,267,0.534000,0.034000
13,23,255,17,20277535,500,266,0.532000,0.032000
13,23,255,18,20278535,500,242,0.484000,-0.016000
13,23,255,19,20279535,500,256,0.512000,0.012000
13,23,255,20,20280535,500,258,0.516000,0.016000
13,24,255,1,20261536,500,259,0.518000,0.018000
13,24,255,2,20262536,500,225,0.450000,-0.050000
13,24,255,3,20263536,500,262,0.524000,0.024000
13,24,255,4,20264536,500,255,0.510000,0.010000
13,24,255,5,20265536,500,244,0.488000,-0.012000
13,24,255,6,20266536,500,253,0.506000,0.006000
13,24,255,7,20267536,500,239,0.478000,-0.022000
13,24,255,8,20268536,500,272,0.544000,0.044000
13,24,255,9,20269536,500,253,0.506000,0.006000
13,24,255,10,20270536,500,245,0.490000,-0.010000
13,24,255,11,20271536,500,239,0.478000,-0.022000
13,24,255,12,20272536,500,266,0.532000,0.032000
13,24,255,13,20273536,500,247,0.494000,-0.006000
13,24,255,14,20274536,500,251,0.502000,0.002000
13,24,255,15,20275536,500,251,0.502000,0.002000
13,24,255,16,20276536,500,260,0.520000,0.020000
13,24,255,17,20277536,500,250,0.500000,0.000000
13,24,255,18,20278536,500,242,0.484000,-0.016000
13,24,255,19,20279536,500,252,0.504000,0.004000
13,24,255,20,20280536,500,270,0.540000,0.040000
13,25,255,1,20261537,500,246,0.492000,-0.008000
13,25,255,2,20262537,500,268,0.536000,0.036000
13,25,255,3,20263537,500,240,0.480000,-0.020000
13,25,255,4,20264537,500,235,0.470000,-0.030000
13,25,255,5,20265537,500,263,0.526000,0.026000
13,25,255,6,20266537,500,266,0.532000,0.032000
13,25,255,7,20267537,500,250,0.500000,0.000000
13,25,255,8,20268537,500,250,0.500000,0.000000
13,25,255,9,20269537,500,250,0.500000,0.000000
13,25,255,10,20270537,500,259,0.518000,0.018000
13,25,255,11,20271537,500,240,0.480000,-0.020000
13,25,255,12,20272537,500,236,0.472000,-0.028000
13,25,255,13,20273537,500,260,0.520000,0.020000
