rounds,input_bit_index,output_bit_index,seed_count,samples_per_seed,total_samples,flip_count,baseline,flip_rate,ci_level,ci_method,ci_low,ci_high,baseline_delta,ci_contains_baseline,p_value_method,raw_p_value,seed_min_flip_rate,seed_max_flip_rate,holm_adjusted_p_value,holm_reject_baseline
13,125,255,20,500,10000,5042,0.500000,0.504200,0.950000,wilson_score,0.494401,0.513996,0.004200,True,normal_approximation_two_sided,0.40653878,0.466000,0.550000,1,False
13,126,255,20,500,10000,5054,0.500000,0.505400,0.950000,wilson_score,0.495601,0.515195,0.005400,True,normal_approximation_two_sided,0.28461931,0.476000,0.536000,1,False
13,127,255,20,500,10000,5078,0.500000,0.507800,0.950000,wilson_score,0.498000,0.517594,0.007800,True,normal_approximation_two_sided,0.12114152,0.458000,0.540000,1,False
13,128,255,20,500,10000,4993,0.500000,0.499300,0.950000,wilson_score,0.489502,0.509098,-0.000700,True,normal_approximation_two_sided,0.89656643,0.464000,0.528000,1,False
13,129,255,20,500,10000,4978,0.500000,0.497800,0.950000,wilson_score,0.488003,0.507599,-0.002200,True,normal_approximation_two_sided,0.66719564,0.456000,0.530000,1,False
13,130,255,20,500,10000,4947,0.500000,0.494700,0.950000,wilson_score,0.484905,0.504499,-0.005300,True,normal_approximation_two_sided,0.29371811,0.444000,0.546000,1,False
13,131,255,20,500,10000,5009,0.500000,0.500900,0.950000,wilson_score,0.491102,0.510698,0.000900,True,normal_approximation_two_sided,0.86501014,0.448000,0.536000,1,False
13,132,255,20,500,10000,5027,0.500000,0.502700,0.950000,wilson_score,0.492901,0.512497,0.002700,True,normal_approximation_two_sided,0.59611193,0.478000,0.538000,1,False
13,133,255,20,500,10000,5057,0.500000,0.505700,0.950000,wilson_score,0.495901,0.515495,0.005700,True,normal_approximation_two_sided,0.25847622,0.452000,0.548000,1,False
13,134,255,20,500,10000,4974,0.500000,0.497400,0.950000,wilson_score,0.487603,0.507199,-0.002600,True,normal_approximation_two_sided,0.61005146,0.448000,0.544000,1,False
13,135,255,20,500,10000,4941,0.500000,0.494100,0.950000,wilson_score,0.484305,0.503900,-0.005900,True,normal_approximation_two_sided,0.24200097,0.466000,0.528000,1,False
13,136,255,20,500,10000,4985,0.500000,0.498500,0.950000,wilson_score,0.488703,0.508298,-0.001500,True,normal_approximation_two_sided,0.77181624,0.444000,0.538000,1,False
13,137,255,20,500,10000,5017,0.500000,0.501700,0.950000,wilson_score,0.491901,0.511497,0.001700,True,normal_approximation_two_sided,0.74139996,0.464000,0.526000,1,False
13,138,255,20,500,10000,4917,0.500000,0.491700,0.950000,wilson_score,0.481907,0.501500,-0.008300,True,normal_approximation_two_sided,0.098942936,0.466000,0.514000,1,False
13,139,255,20,500,10000,4960,0.500000,0.496000,0.950000,wilson_score,0.486204,0.505799,-0.004000,True,normal_approximation_two_sided,0.42952777,0.462000,0.528000,1,False
13,140,255,20,500,10000,5039,0.500000,0.503900,0.950000,wilson_score,0.494101,0.513696,0.003900,True,normal_approximation_two_sided,0.44129989,0.474000,0.552000,1,False
13,141,255,20,500,10000,5022,0.500000,0.502200,0.950000,wilson_score,0.492401,0.511997,0.002200,True,normal_approximation_two_sided,0.66719564,0.472000,0.540000,1,False
13,142,255,20,500,10000,5024,0.500000,0.502400,0.950000,wilson_score,0.492601,0.512197,0.002400,True,normal_approximation_two_sided,0.63835502,0.468000,0.542000,1,False
13,143,255,20,500,10000,4975,0.500000,0.497500,0.950000,wilson_score,0.487703,0.507299,-0.002500,True,normal_approximation_two_sided,0.6241339,0.458000,0.520000,1,False
